"obj_ID","alpha","delta","u","g","r","i","z","run_ID","rerun_ID","cam_col","field_ID","spec_obj_ID","class","redshift","plate","MJD","fiber_ID"
1237662335714329088,230.466905605039,36.5326541818022,22.52103,21.49751,21.14583,21.09354,20.8163,3926,301,2,34,12096843559023695872,"QSO",2.493642,10744,58199,636
1237661362372083968,203.594117320587,46.5794539874449,20.11391,19.38201,19.14277,19.10151,18.98311,3699,301,5,106,8339792786640623616,"QSO",2.595191,7407,56772,917
1237661849858408704,183.751537985792,44.108363532713,22.89009,19.56968,19.24634,18.76239,18.50735,3813,301,1,221,7473995817621411840,"QSO",2.976525,6638,56370,990
1237660764832727552,119.928265273422,23.0079088575017,20.70818,20.42339,20.38258,20.01266,20.35422,3560,301,4,75,12512153293882152960,"QSO",1.725891,11113,58425,100
1237680275257032960,352.734968669149,25.9002909628079,21.21014,20.93652,20.71918,20.37263,20.27264,8103,301,1,52,8670597087451437056,"QSO",1.466068,7701,57356,152
1237668311626744832,234.10526021805,13.9801380346371,24.80596,21.54012,21.1896,21.1133,20.95914,5317,301,5,69,5507904639566370816,"QSO",2.911322,4892,55738,8
1237665025983512832,198.041672612832,35.0500366558858,21.54557,20.59856,20.49595,20.32218,20.01682,4552,301,5,172,11544079486153938944,"QSO",2.634835,10253,58487,828
1237655502961639936,256.792092262778,33.6938122975232,20.48048,20.31949,20.21722,20.08003,20.07898,2335,301,3,86,12276964182902200320,"QSO",1.500934,10904,58402,551
1237662225691377920,222.608037878278,34.115884129319,21.12722,21.06498,20.69856,20.71578,20.62259,3900,301,5,577,12104617106584393728,"QSO",1.099293,10751,58220,244
1237658310795788544,194.683456816843,58.6974590434076,21.83797,21.47935,21.28036,20.8546,20.76374,2989,301,1,75,9247080123840354304,"QSO",1.513009,8213,58487,233
1237659326015602944,207.510020756394,58.312910222127,19.3321,19.04723,18.88127,18.75672,18.54086,3225,301,4,28,1303909509751662592,"QSO",2.020264,1158,52668,427
1237678617430065664,28.0122594462653,1.07923319347667,20.52088,20.28943,19.90478,19.88562,19.90217,7717,301,1,516,10576711832369911808,"QSO",1.051075,9394,58108,29
1237660241926422784,54.8695710767121,0.849275534451713,22.05774,21.67693,21.80227,21.42385,21.08716,3438,301,6,166,2972479738544758784,"QSO",2.216168,2640,54806,378
1237663478724100864,338.317014519486,-0.379726014836498,25.74044,22.11803,21.19496,20.72423,20.2649,4192,301,3,211,10301047498576517120,"QSO",0.901769,9149,58039,688
1237660961326759936,133.530449400354,31.1924345982464,21.94001,21.91297,21.59668,21.41013,20.94843,3606,301,2,64,1.2009027218624e+19,"QSO",1.314924,10666,58440,650
1237658206111727616,149.903833295678,45.6789085842856,18.50693,18.40387,18.33299,18.25226,18.28411,2964,301,6,163,3595123553030217728,"QSO",1.378452,3193,54830,455
1237678617939084544,324.349329802554,1.21727006861617,23.69036,22.15241,21.84891,21.19146,20.43553,7717,301,2,91,10388936408991815680,"QSO",0.6913671,9227,57932,938
1237658206123786496,190.941577127646,50.9829022962116,21.57332,20.89292,20.62987,20.28943,19.94385,2964,301,6,347,7514283573702318080,"QSO",2.009716,6674,56416,100
1237657611265638912,177.605263969557,56.8586287054685,25.82686,20.43304,19.75976,19.55402,19.46852,2826,301,2,268,7700201644261398528,"QSO",3.284117,6839,56425,626
1237673708259311872,140.847030715456,2.14245691360698,24.27022,19.66428,19.24179,18.96784,18.89408,6574,301,1,163,5331210370744080384,"QSO",3.249231,4735,55651,270
1237667441901764864,196.280325400608,26.080740396367,20.69106,20.33258,20.18955,20.14379,19.82485,5115,301,1,159,6723878198223067136,"QSO",0.8427498,5972,56334,14
1237659154217631744,246.122673616548,35.1082062012699,20.76552,20.74977,20.81548,20.50528,20.86766,3185,301,4,39,12077538883585464320,"QSO",1.88962,10727,58197,38
1237661361844518912,229.920566297205,37.742815745763,19.8096,19.55858,19.53319,19.35943,19.37721,3699,301,4,248,1575137596302977024,"QSO",0.5258459,1399,53172,13
1237651539797606400,238.578528365752,56.2770978840689,20.66924,20.6301,20.42021,20.36421,20.50424,1412,301,5,346,9477907466975205376,"QSO",1.1198,8418,58199,298
1237661355929370880,170.610988219554,45.3768235513623,19.97257,19.79305,19.82203,19.62831,19.38528,3698,301,1,102,8327252582268688384,"QSO",2.007396,7396,56809,352
1237661360767697152,221.482062009281,40.4818698617859,21.27781,20.30541,19.39802,19.09488,18.68644,3699,301,2,201,5823353431650490368,"QSO",0.2863638,5172,56071,724
1237665107043418624,249.322358749999,17.2445590650916,19.66658,19.22366,18.80561,18.68578,18.68755,4571,301,4,56,2485021682792687616,"QSO",1.354811,2207,53558,584
1237657608029078016,114.095133720558,27.5082107203995,19.82597,19.54925,19.27708,19.05413,19.1718,2825,301,4,34,999863477948409856,"QSO",1.500371,888,52339,234
1237659324420915712,249.82346008912,34.8531455594463,22.47191,21.67468,21.23417,21.19247,21.1655,3225,301,1,271,5841423900756695040,"QSO",1.541864,5188,55803,928
1237664295830290688,194.192845599084,40.4686156276751,21.65298,21.99879,21.50144,21.5935,21.62594,4382,301,5,38,9949795861814073344,"QSO",1.23742,8837,57867,794
1237661360758718720,194.339539803996,46.3301582977459,21.49844,21.39587,21.11309,21.09386,20.91694,3699,301,2,64,8351053709535631360,"QSO",1.3311,7417,56753,924
1237680297271361792,336.277072590601,19.2480527004385,19.88812,19.55934,19.33497,19.18127,19.3222,8108,301,2,92,8531124580311652352,"QSO",1.463024,7577,56944,658
1237659161196036096,228.10667212225,47.4265263600796,20.34793,19.95541,19.88795,19.85893,19.70521,3187,301,1,25,9590678052343666688,"QSO",2.226466,8518,58193,955
1237655107294986752,148.022840922029,53.3015319226901,23.71051,21.55709,21.17439,21.3271,20.7362,2243,301,2,196,6459436306682632192,"QSO",2.282002,5737,56381,540
1237662223545795072,226.498240376439,30.8283487018126,21.3644,20.28361,20.12337,19.93148,19.81292,3900,301,1,606,4364061794198902784,"QSO",2.848957,3876,55245,268
1237679457065698048,343.549847487094,16.9724077663877,22.97863,22.06222,21.79086,21.79267,21.59794,7912,301,5,51,5667928119212005376,"QSO",2.401183,5034,56190,538
1237662337325334784,232.307217857052,37.033519637217,21.41459,20.57823,19.32756,18.72663,18.3186,3926,301,5,40,1.2093360306707e+19,"QSO",0.3812929,10741,58230,252
1237662224615604224,216.89369519244,35.0884416076527,20.32432,20.20861,20.00733,20.01444,20.20479,3900,301,3,546,12111391197773453312,"QSO",1.109471,10757,58223,312
1237660241923801344,48.9647452950695,1.00591739306311,19.92891,19.7404,19.71193,19.47063,19.32138,3438,301,6,126,800629494795757568,"QSO",1.963307,711,52202,417
1237662336263127552,255.209336223976,19.8620392440249,20.31682,18.83807,17.71958,17.24144,16.96047,3926,301,3,216,1604489054861158400,"QSO",0.1890727,1425,52913,297
1237661150844616704,205.72531892958,47.8158046135223,20.3041,19.88475,19.8553,19.54847,19.31142,3650,301,3,101,7597844807390877696,"QSO",1.885356,6748,56371,990
